business_name,reviewer_name,rating,review_text,review_date
HK Tea and Sushi,Emily L.,4,"Nice casual spot for sushi and milk tea. Fish tasted fresh and service was quick. Good place for a simple dinner.",2024-03-12
HK Tea and Sushi,Jason W.,5,"I come here often for their rolls and bubble tea. Prices are reasonable and portions are solid.",2024-05-08
HK Tea and Sushi,Amanda C.,3,"Food was decent but seating is a bit tight. Better for takeout than dining in.",2024-06-21

Fortune Palace Restaurant,Michael T.,5,"Great dim sum spot for family gatherings. Tons of variety and everything came out hot and fresh.",2024-02-18
Fortune Palace Restaurant,Linda K.,4,"Classic banquet-style Chinese restaurant. A little noisy on weekends but food quality is very good.",2024-04-03
Fortune Palace Restaurant,Kevin Z.,4,"Dim sum carts move fast and service is efficient. Would definitely come back.",2024-07-10

YiXin Restaurant,Alex V.,4,"As a vegan, I was happy to find several plant-based options. The vegetable sushi rolls and tofu dishes were fresh and flavorful, and staff was accommodating with dietary requests.",2024-08-20
YiXin Restaurant,Sarah M.,4,"Nice Asian fusion menu with sushi options. Good atmosphere for a casual dinner.",2024-01-29
YiXin Restaurant,Daniel R.,5,"Sushi rolls were creative and fresh. Staff was friendly and attentive.",2024-05-17
YiXin Restaurant,Olivia H.,3,"Food was good but took longer than expected to come out.",2024-06-30

Golden Steamer Restaurant,Wei L.,5,"Love their steamed buns and dim sum items. Simple, fast, and affordable.",2024-03-06
Golden Steamer Restaurant,Chris B.,4,"Quick bites and solid flavors. Great place if you want something filling without waiting too long.",2024-04-22
Golden Steamer Restaurant,Anna Y.,4,"Good value for money. The soup dumplings are my favorite here.",2024-07-01

Paris Baguette (Bensonhurst),Jessica P.,5,"Beautiful bakery with amazing pastries and coffee. Everything looks fresh and tastes great.",2024-02-05
Paris Baguette (Bensonhurst),Ryan S.,4,"Good spot to grab breakfast or dessert. Can get crowded in the afternoon.",2024-05-12
Paris Baguette (Bensonhurst),Nicole D.,5,"Consistently good pastries and clean environment. Love coming here to study.",2024-08-09

Mr. Bun Soup Dumpling,Andrew K.,5,"Excellent xiao long bao! Juicy and flavorful. One of the best soup dumpling spots nearby.",2024-03-19
Mr. Bun Soup Dumpling,Hannah L.,4,"Very comforting food and generous portions. A bit busy during dinner hours.",2024-04-27
Mr. Bun Soup Dumpling,Eric J.,5,"Authentic flavors and quick service. Highly recommend the dumplings.",2024-06-14

Tiger Sugar (86th St),Sophia N.,5,"Best brown sugar boba in the area. Rich flavor and chewy pearls.",2024-01-21
Tiger Sugar (86th St),Brian T.,4,"Sweet but satisfying. Drinks are made fresh and staff is efficient.",2024-04-08
Tiger Sugar (86th St),Lily W.,4,"Good quality drinks but prices are slightly high compared to other boba places.",2024-07-03

Pho Number 1,David H.,5,"Delicious pho with rich broth and tender meat. Perfect comfort food.",2024-02-14
Pho Number 1,Melissa R.,4,"Large portions and good flavors. Service was friendly.",2024-05-20
Pho Number 1,Tom P.,4,"Solid Vietnamese spot. Quick service and fair prices.",2024-08-02

Bonchon (86th St),Alex G.,5,"Crispy Korean fried chicken with amazing sauce. Always hits the spot.",2024-03-10
Bonchon (86th St),Rachel E.,4,"Chicken is consistently crunchy and flavorful. Fries are also good.",2024-06-01
Bonchon (86th St),Steven M.,4,"Great takeout option, though seating is limited.",2024-07-18

IstanbulBay (Bensonhurst),Fatima A.,5,"Delicious halal Turkish food. The kebabs were juicy and well-seasoned.",2024-04-11
IstanbulBay (Bensonhurst),John C.,4,"Fast service and filling portions. Good option for a quick meal.",2024-05-29
IstanbulBay (Bensonhurst),Nadia S.,5,"Clean place with tasty food. The rice and meat combos are excellent.",2024-08-12
